date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
NA,NA,NA,NA,NA,NA,NA
1993193,953.5667568,960.9994886,100.8086604,5531,1268,613
1993209,1017.5132313,1015.7443772,90.8095405,5531,1258,639
1993225,949.5531788,942.1840443,93.5156272,5531,1188,550
1993241,945.6706643,938.7992195,86.4912973,5531,1158,571
1993257,1001.4438799,981.3187893,84.0219596,5531,1112,526
1993273,758.4605057,747.9080928,66.2362349,5531,871,416
1993289,478.5014851,479.5158617,53.2766584,5531,632,295
1993305,258.4972659,269.9454393,49.0466804,5531,419,143
1993321,228.5505646,242.0744213,52.0651784,5531,396,99
1993337,146,153.7150718,33.0873838,5531,252,63
1993353,65,69.7806101,16.8795117,5531,125,27
1994001,84,89.5907781,20.4691419,5531,154,35
1994017,103,109.9079296,25.4999759,5531,190,43
1994033,124,134.0315325,33.5501787,5531,251,53
1994049,214.6063164,228.5665185,54.9896877,5531,418,79
1994065,316.555047,332.3537242,76.3159374,5531,601,103
1994081,533.6107385,538.3846049,95.6731768,5531,845,200
1994097,821.564813,809.9470075,95.1105951,5531,1012,352
1994113,1141.6078619,1120.5758874,102.1299395,5531,1325,637
1994129,1433.4594779,1406.789547,114.3926469,5531,1602,775
1994145,1313.5525605,1287.507446,103.9024159,5531,1442,720
1994161,1117.4632134,1103.8421991,89.7970059,5531,1310,645
1994177,1133.5309305,1114.7176004,95.7937895,5531,1309,637
1994193,1133.3704371,1111.6196004,94.2674011,5531,1277,635
1994209,1305.6168332,1278.4680327,112.6479422,5531,1433,719
1994225,1257.6156075,1233.3032752,101.1490961,5531,1369,712
1994241,1137.4365571,1112.6851281,88.051262,5531,1224,673
1994257,1025.5071179,1003.0661227,84.0925519,5531,1122,588
1994273,718.4878449,702.2289936,66.7289244,5531,810,376
1994289,586.5462412,578.7915231,60.537883,5531,718,262
1994305,330.4367812,338.7775673,52.5124176,5531,524,190
1994321,200,208.8670786,40.8563553,5531,342,104
1994337,196,206.1839166,41.9824783,5531,334,102
1994353,126,133.3882428,31.1308312,5531,230,61
1995001,159,170.0647425,40.7414712,5531,290,81
1995017,135,146.9359668,37.6103859,5531,270,66
1995033,90,98.483317,25.3170945,5531,184,44
1995049,220.5670335,235.8133207,54.3438177,5531,420,103
1995065,421.3802054,449.1442472,95.2259767,5531,770,221
1995081,589.6207586,602.773252,87.1235018,5531,881,334
1995097,921.6208965,918.1954439,84.4355891,5531,1151,586
1995113,1281.5992427,1253.0777252,123.1416332,5531,1423,626
1995129,1437.5748502,1408.5204266,119.4601503,5531,1599,811
1995145,1277.5516645,1255.0668774,106.7973567,5531,1399,741
1995161,1449.5873883,1419.0179732,124.399514,5531,1580,727
1995177,1365.4319377,1340.5331859,115.6752882,5531,1522,739
1995193,1273.5670893,1271.8117468,99.0536177,5531,1515,836
1995209,1101.5339325,1087.3562925,86.5091021,5531,1266,631
1995225,957.504589,957.1055311,85.28262,5531,1219,562
1995241,1109.3903418,1085.8630981,91.8061559,5531,1195,600
1995257,909.4746887,888.2195346,80.5133387,5531,994,472
1995273,862.5554438,848.9376698,72.2686235,5531,960,473
1995289,580.5038789,581.0272754,68.1098689,5531,777,343
1995305,221,227.275748,38.8750943,5531,352,119
1995321,224.5070206,234.2930296,45.1232722,5531,375,108
1995337,122,129.8329125,29.7453365,5531,222,60
1995353,56,61.8474024,18.574779,5531,123,26
1996001,90,96.5651397,22.8063093,5531,170,48
1996017,103,111.5373103,27.1707626,5531,202,55
1996033,106,113.4558855,26.3478548,5531,197,55
1996049,298.5521566,320.5056494,72.4135644,5531,548,146
1996065,260.4782864,274.5223764,56.7635492,5531,471,133
1996081,500.5655499,507.5725517,57.9942142,5531,698,283
1996097,826.5348703,814.2218738,68.1976769,5531,960,458
1996113,1317.4920563,1289.8096977,107.4724538,5531,1452,703
1996129,1353.642931,1330.4002829,105.4692243,5531,1548,717
1996145,1549.4648242,1516.5417121,122.704565,5531,1684,797
