year,n,RBI,peak_Q,ar_1,median,mean,cumulative,q05
1947,365,0.5515523521803316,42.47526988800001,0.5436782448183263,0.8495053977600001,1.6974359133670753,53530338.96394408,0.15121196080128
1948,366,0.5933904928990716,32.84754204672001,0.479637173661972,1.5857434091520002,2.4607571793747938,77815047.82906148,0.20388129546240003
1949,365,0.4144513701988014,18.434267131392,0.6632888177037165,1.0194064773120002,1.5508167123418128,48906555.8404114,0.36811900569600003
1950,365,0.48145881777016275,12.516046193664002,0.5509557084071572,0.7928717045760001,1.2044279771401118,37982840.687090576,0.22653477273600003
1951,365,0.7041088631072923,69.94261108224,0.5436111953538528,0.4813863920640001,1.6396462721989087,51707884.84006479,0.06626142102528
1952,366,0.63111243428308506,47.00596534272001,0.45402469243694876,1.0477233239040002,2.286902572880577,72317347.92065877,0.28316846592000006
1953,365,0.615123761715308,43.607943751680004,0.3955933680501001,0.31148531251200007,1.1621854484569778,36650680.302539244,0.037944574433280004
1954,365,0.6782367391502138,21.605753949696002,0.4090200695597684,0.45306954547200007,1.0232234330717984,32268374.185352236,0.005663369318400001
1955,365,0.6219375297288726,36.24556363776001,0.4942964371298722,0.45306954547200007,1.2232489825735893,38576379.914440714,0.15404364546048002
1956,366,0.6701613007263048,49.83765000192001,0.5637513697669304,0.8211885511680002,1.7991797061283674,56894380.33907369,0.14158423296000003
1957,365,0.6340180132406433,33.980215910400005,0.4079316922549952,1.0194064773120002,1.872620218269528,59054951.20334783,0.11440006023168
1958,365,0.5693616270440545,28.118628665856004,0.5104538633726878,0.6512874716160001,1.494920032973221,47143798.159843504,0.09344559375360001
1959,365,0.6542221912946662,28.883183523840003,0.49428100469947484,1.0194064773120002,2.22973832301554,70317027.75461808,0.15574265625600003
1960,366,0.6503655103290449,42.19210142208001,0.37465563477977853,0.8495053977600001,2.261719147837692,71520987.58058262,0.42475269888000006
1961,365,0.5960214908817809,36.811900569600006,0.5411907246102874,0.9344559375360001,2.0143363379122854,63524110.75240183,0.09344559375360001
1962,365,0.5948682244752912,36.24556363776001,0.46680643341574435,1.0477233239040002,2.1394502516079523,67469703.13470837,0.21237634944000003
1963,365,0.5261360638356124,63.71290483200001,0.8547524213709063,0.5663369318400001,1.5585204462228692,49149500.7920844,0.048138639206400005
