date,K600,K600.lower,K600.upper,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,msgs.fit,warnings,errors,site,DO_mgl,DO.sat,temp.water,depth,discharge
2019-06-26,1.1731480935040812,0.092851008391356335,2.598052370110114,0.30719661824995104,-0.0354767098877586,0.6647756023128618,-0.7976836146973084,-1.5601425021360646,-0.1164326156054554,w      ,,,wb,7.080520833333333,8.282252652593435,24.788251041666665,0.28388758541924314,0.2888689942679585
2019-06-27,1.0768527652282918,0.09359330183556977,2.4646435190500893,0.24354127009902468,-0.1023473730705543,0.5822249144553779,-0.6473176901683928,-1.451353136073588,0.01484950417526162,w      ,,,wb,7.118229166666667,8.237253713076662,25.174803125,0.29159929758190195,0.3166780116820097
2019-06-28,1.2658680251218473,0.1740002163330938,2.655174045481163,0.4847130812514139,0.12121607318712575,0.8875356405856694,-1.2560214017576583,-2.2206623519721904,-0.4069535053058753,w      ,,,wb,7.026979166666667,8.276892201210329,24.901071875,0.31125766660952453,0.41317739043153173
2019-06-29,0.8797343447202626,0.074238153359343,2.0690024614203697,0.19262821037487896,-0.14991539160265538,0.534145876597822,-0.8431957933057632,-1.7209695243794958,-0.08949710001840952,w      ,,,wb,6.338333333333333,8.278733023976692,24.748573958333335,0.2929106754435872,0.32265055003050624
2019-06-30,1.2425782357985136,0.0853174002277669,2.669103861795101,0.2808589067068763,-0.07455345863900943,0.6274789130763577,-1.0062294611773288,-1.9415978424031795,-0.11018809707840206,w      ,,,wb,6.3909375,8.100082084991639,25.638182291666666,0.27709276097728835,0.26604102352139125
2019-07-01,1.433934679540751,0.2891924774524934,2.8631377047247875,0.4289930748102383,0.08176284382328444,0.7618123066173144,-1.2351543604477375,-2.2559381460370482,-0.3693555195927046,w      ,,,wb,6.45625,8.114208789825922,25.614283333333333,0.2702591357814019,0.24439853925437693
2019-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,wb,6.2409375,8.340509694204925,24.125453125,0.265348630224901,0.22956109601148666
2019-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,wb,6.7481081081081085,7.921170173842407,26.856893333333332,0.26181606376568933,0.21937706891656603
2019-07-04,2.0745223185978183,0.7366487149178577,3.438652953616373,0.8402830673680428,0.4325098352170893,1.2443024934068718,-1.9235904172534646,-2.970940202198661,-0.9114169300189564,w      ,,,wb,6.517291666666667,8.027583331781038,26.327113541666666,0.2626682201859613,0.22183151997585487
2019-07-05,1.9663452189103408,0.6822987714110713,3.2854282686988845,0.6474331408187559,0.26093059756936665,1.0548457550783057,-1.4764396274737432,-2.443056109337177,-0.5213726086593041,w      ,,,wb,6.561458333333333,8.046600222048964,26.304967708333333,0.2684875750522586,0.24041895956318396
2019-07-06,1.4988629030200105,0.3175672114362894,2.9959825560881095,0.40602777997528094,0.041958274261576896,0.7666116959096049,-0.9812480080805545,-1.8374972941418737,-0.21663650221943886,w      ,,,wb,6.86875,7.9707766644392075,26.62986875,0.26939365181455754,0.24176676802470398
2019-07-07,1.7570943596357418,0.5128063165746022,3.122675655987527,0.7222251172768481,0.3659209414035802,1.089834493455168,-1.501905174824127,-2.3412404403661538,-0.6915108273584126,w      ,,,wb,6.758229166666666,7.950363583642809,26.564839583333335,0.26681291967320786,0.23394709318136497
2019-07-08,1.9029279583000762,0.646907183656029,3.278673557093072,0.6583276876453719,0.28151312927556704,1.0244974825320177,-1.388197638916053,-2.2438962296040406,-0.5926324565429784,w      ,,,wb,6.7290625,7.889542468323055,27.02241875,0.2705686131412577,0.24531705515016158
2019-07-09,2.0468772487473923,0.6811393631267597,3.418087510185494,0.9796156955840103,0.5722378311114159,1.3839318714144366,-1.8210578946114848,-2.6745746855880825,-0.9186629902980089,w      ,,,wb,6.871666666666667,8.027423367454483,26.352782291666667,0.2668272523204121,0.233959975012007
2019-07-10,1.9776408742819687,0.7529858477441072,3.270174778921511,0.8675652887864599,0.5089990549841006,1.2530773648334024,-1.7241800739795776,-2.5664861632790434,-0.8995603675449544,w      ,,,wb,6.6784375,8.034520009489102,26.256160416666667,0.26300733111889224,0.22274805583216278
2019-07-11,1.869038439109893,0.5859006334870106,3.107462455872865,0.9823894629163141,0.5967121579919268,1.3748794790058771,-1.8609264422994363,-2.689231867370669,-1.0492846618809264,w      ,,,wb,6.6466666666666665,7.956499046518746,26.548465625,0.25948638979060235,0.21276107134865915
2019-07-12,2.1696609592450633,1.1164242883075033,3.2963371324037944,1.207358826990082,0.837292917531574,1.5840487020055622,-2.0761589879885687,-2.8570895114345283,-1.2893317991701994,w      ,,,wb,6.651354166666667,7.92624978434043,26.769009375,0.26128954478273536,0.21784144716229978
2019-07-13,1.861858022183927,0.6559288810065224,3.0254353754648178,0.9692184923859796,0.5797642039652521,1.3249423087470447,-1.8782305726514166,-2.723852825426051,-0.9918197962218586,w      ,,,wb,6.4871875,7.9057502697382995,27.101947916666667,0.25843247355953225,0.20983886150994668
2019-07-14,1.8896226669841272,0.7807337715524622,3.1381675921806527,1.0997477356473033,0.7355819183808966,1.465034456859168,-2.0474623774349445,-2.916623238345746,-1.2324290429176716,w      ,,,wb,6.430208333333334,7.893277593043703,27.285604166666666,0.2562410751806208,0.20385151446518013
2019-07-15,1.464323929783745,0.3985980539584145,2.5296735892959754,1.0991925710146249,0.7284949928791667,1.4649900259023905,-1.880697397950182,-2.6860155323768478,-1.026641466345193,w      ,,,wb,6.348229166666667,7.910535758001002,27.235697916666666,0.2527692565529542,0.19460492505870758
2019-07-16,1.086325838546486,0.1424932771948356,2.111732727275539,1.0752900108421377,0.7218560765338453,1.4158947738402532,-1.642425797572713,-2.4085163503157725,-0.904175689471293,w      ,,,wb,6.273958333333334,7.938438753333442,27.019747916666667,0.25357776397433723,0.1968218987241638
