DateTime,1,variable,statistic
1983-11-01T00:00:00Z,131.39026,ppt,MEAN
1983-12-01T00:00:00Z,185.94995,ppt,MEAN
1984-01-01T00:00:00Z,117.69435,ppt,MEAN
1984-02-01T00:00:00Z,158.02003,ppt,MEAN
1984-03-01T00:00:00Z,191.83565,ppt,MEAN
1984-04-01T00:00:00Z,121.00174,ppt,MEAN
1984-05-01T00:00:00Z,174.80585,ppt,MEAN
1984-06-01T00:00:00Z,73.7289,ppt,MEAN
1984-07-01T00:00:00Z,191.90904,ppt,MEAN
1984-08-01T00:00:00Z,80.03746,ppt,MEAN
1984-09-01T00:00:00Z,39.343136,ppt,MEAN
1984-10-01T00:00:00Z,48.417854,ppt,MEAN
1984-11-01T00:00:00Z,39.67059,ppt,MEAN
1984-12-01T00:00:00Z,83.777466,ppt,MEAN
1985-01-01T00:00:00Z,126.14171,ppt,MEAN
1985-02-01T00:00:00Z,140.23955,ppt,MEAN
1985-03-01T00:00:00Z,33.904747,ppt,MEAN
1985-04-01T00:00:00Z,18.204102,ppt,MEAN
1985-05-01T00:00:00Z,140.41365,ppt,MEAN
1985-06-01T00:00:00Z,67.4628,ppt,MEAN
1985-07-01T00:00:00Z,179.7829,ppt,MEAN
1985-08-01T00:00:00Z,200.26596,ppt,MEAN
1985-09-01T00:00:00Z,6.904729,ppt,MEAN
1985-10-01T00:00:00Z,76.86016,ppt,MEAN
1985-11-01T00:00:00Z,317.4746,ppt,MEAN
1985-12-01T00:00:00Z,29.217346,ppt,MEAN
1986-01-01T00:00:00Z,37.298916,ppt,MEAN
1986-02-01T00:00:00Z,49.31757,ppt,MEAN
1986-03-01T00:00:00Z,80.65895,ppt,MEAN
1986-04-01T00:00:00Z,28.929476,ppt,MEAN
1986-05-01T00:00:00Z,77.9307,ppt,MEAN
1986-06-01T00:00:00Z,37.040794,ppt,MEAN
1986-07-01T00:00:00Z,102.65057,ppt,MEAN
1986-08-01T00:00:00Z,268.0312,ppt,MEAN
1986-09-01T00:00:00Z,12.837127,ppt,MEAN
1986-10-01T00:00:00Z,45.69902,ppt,MEAN
1986-11-01T00:00:00Z,79.359436,ppt,MEAN
1986-12-01T00:00:00Z,107.66089,ppt,MEAN
1987-01-01T00:00:00Z,147.64034,ppt,MEAN
1987-02-01T00:00:00Z,98.87981,ppt,MEAN
1987-03-01T00:00:00Z,96.662865,ppt,MEAN
1987-04-01T00:00:00Z,140.29572,ppt,MEAN
1987-05-01T00:00:00Z,56.57791,ppt,MEAN
1987-06-01T00:00:00Z,67.45652,ppt,MEAN
