date,tmean_med,tmean_mean,tmean_std,tmean_cnt,tmean_max,tmean_min
19810428,22.1800003,22.1179997,0.3435617,8,22.5130005,21.4220009
19810429,23.342001,23.3475726,0.1851367,8,23.7560005,23.092001
19810430,21.519001,21.380691,0.3561905,8,21.7900009,20.6410007
19810501,18.328001,18.3133391,0.3015893,8,18.7860012,17.7080002
19810502,14.9470005,14.9668859,0.2441967,8,15.5020008,14.6330004
19810503,11.361001,11.4366617,0.2152296,8,11.9380007,11.2220001
19810504,12.7630005,12.7572954,0.170653,8,13.0630007,12.4430008
19810505,17.2310009,17.2083231,0.2939781,8,17.7280006,16.6620007
19810506,19.8290005,19.808524,0.4091534,8,20.3320007,18.9820004
19810507,16.7720013,16.7474819,0.1676417,8,17.059,16.4400005
19810508,9.7890005,9.8414804,0.1706213,8,10.2750006,9.7420006
19810509,14.6130009,14.5558023,0.2742881,8,14.8900003,14.0730009
19810510,15.236001,15.2914323,0.1125799,8,15.5650005,15.2180004
19810511,16.6360016,16.5846279,0.3263438,8,16.8920002,15.8700008
19810512,18.6800003,18.6817042,0.0800421,8,18.7920017,18.519001
19810513,14.104001,14.1180482,0.1012831,8,14.3670006,14.0100002
19810514,17.5620003,17.5181746,0.3664395,8,17.9510002,16.8040009
19810515,21.5590019,21.5839378,0.2729898,8,22.0650005,21.1120014
19810516,18.2130013,18.1053524,0.4660147,8,18.6350002,17.1470013
19810517,17.0840015,17.0477219,0.2661119,8,17.335001,16.5150013
19810518,19.144001,19.1022192,0.2964623,8,19.4320011,18.5390015
19810519,17.0690002,17.0464133,0.200032,8,17.3830013,16.6630001
19810520,10.3790007,10.3365145,0.1328939,8,10.4870005,10.0380001
19810521,9.7210007,9.7101773,0.098573,8,9.8930006,9.5640001
19810522,16.078001,16.0417631,0.1881006,8,16.3040009,15.7580004
19810523,19.2370014,19.2466246,0.3939471,8,19.9870014,18.7140007
19810524,20.2820015,20.272989,0.2118854,8,20.6490002,19.9740009
19810525,22.8100014,22.9023324,0.2148803,8,23.3920002,22.651001
19810526,23.2750015,23.3431106,0.1818625,8,23.7590008,23.1470013
19810527,22.4260006,22.4538461,0.1467796,8,22.7750015,22.2890015
19810528,20.3850002,20.3783287,0.136519,8,20.6360016,20.1950016
19810529,19.7960014,19.8427278,0.1573976,8,20.2070007,19.673000300000002
19810530,21.2230015,21.2498908,0.1318389,8,21.5460014,21.1070004
19810531,24.2140007,24.185478,0.1639752,8,24.4590015,23.8580017
19810601,25.236002,25.2121726,0.1540535,8,25.3380013,24.8620014
19810602,21.7110004,21.7226768,0.0478668,8,21.7720013,21.6460018
19810603,23.0250015,23.0255581,0.045299,8,23.0770016,22.953001
19810604,23.604002,23.5747944,0.0972294,8,23.7260017,23.4280014
19810605,25.2080021,25.1995317,0.0583995,8,25.2840004,25.1000004
19810606,26.9260006,26.9353425,0.0876554,8,27.0710011,26.7920017
19810607,23.295002,23.2773976,0.0568222,8,23.3820019,23.203001
19810608,24.5770016,24.5950035,0.0682513,8,24.7410011,24.5130005
19810609,25.663002,25.6495406,0.1198404,8,25.8220005,25.401001
19810610,26.4820004,26.4472553,0.3609815,8,27.0110016,25.9090004
19810611,28.2890015,28.2074422,0.2483465,8,28.4890022,27.6800022
19810612,24.3400021,24.3411887,0.0814362,8,24.5060005,24.2340012
19810613,24.4810009,24.4305166,0.2176615,8,24.6590004,23.9630013
19810614,27.288002,27.2405917,0.1087183,8,27.3330021,26.9850006
19810615,28.2110004,28.1882429,0.2030237,8,28.519001,27.8790016
19810616,28.7480011,28.7569826,0.1706413,8,29.0570011,28.5050011
19810617,28.9350014,28.9751889,0.3428611,8,29.6160011,28.4930019
19810618,25.7850018,25.7963397,0.0907255,8,25.9680004,25.6520004
19810619,23.0360012,23.0483924,0.1907066,8,23.4280014,22.8050003
19810620,24.9440002,24.8974962,0.1867227,8,25.1590004,24.6140003
19810621,25.9920006,25.9942085,0.1022089,8,26.1940022,25.8510017
19810622,27.6910019,27.6371,0.3175718,8,28.104002,27.1430016
19810623,28.4700012,28.4503046,0.1273011,8,28.6800022,28.2490005
19810624,24.6780014,24.603572,0.19909,8,24.953001,24.3040009
19810625,26.2920017,26.2590882,0.3062074,8,26.7410011,25.7900009
19810626,27.2140007,27.143549,0.1975862,8,27.3860016,26.8240013
19810627,21.1620007,21.1746957,0.2146571,8,21.4970016,20.8500004
19810628,19.0430012,18.9825749,0.4293265,8,19.677,18.3240013
19810629,19.5900002,19.5935039,0.4624872,8,20.4300003,18.9280014
19810630,22.4490013,22.4571981,0.1245646,8,22.7110004,22.3080006
19810701,22.592001,22.6183265,0.2697818,8,23.1660004,22.2770004
19810702,21.9660015,22.0092495,0.1876834,8,22.3670006,21.7440014
19810703,20.9300003,20.9564825,0.1155737,8,21.1570015,20.7720013
19810704,19.6950016,19.7132333,0.122655,8,19.9410019,19.5290012
19810705,22.8150005,22.8056272,0.0718288,8,22.8890018,22.677002
19810706,25.269001,25.3306573,0.1882297,8,25.7010021,25.0890007
19810707,24.6320019,24.6538031,0.1881232,8,25.031002,24.427002
19810708,25.9080009,25.9039121,0.2224848,8,26.295002,25.5810013
19810709,26.7480011,26.7497879,0.2308876,8,27.1520004,26.4110012
19810710,27.8800011,27.903237,0.3635445,8,28.5770016,27.3930016
19810711,28.026001,28.0670095,0.353469,8,28.7370014,27.5830021
19810712,26.6010017,26.6224944,0.3609823,8,27.295002,26.1060009
19810713,26.663002,26.7327041,0.4166999,8,27.5540009,26.1920013
19810714,28.137001,28.1792412,0.2720738,8,28.6990013,27.8120022
19810715,27.1020012,27.11499,0.1363557,8,27.3640022,26.8690014
19810716,23.7640018,23.8219503,0.3834202,8,24.5750008,23.3120003
19810717,22.276001,22.3003225,0.2714673,8,22.7900009,21.8990002
19810718,23.7250004,23.7228796,0.1998066,8,23.9840012,23.3220005
19810719,25.335001,25.2851788,0.1171941,8,25.3760014,25.0080013
19810720,27.281002,27.2847995,0.0332073,8,27.3150005,27.2260017
19810721,27.5620022,27.5859143,0.0861806,8,27.6930008,27.453001
19810722,26.3360004,26.349106,0.0244231,8,26.3830013,26.3080006
19810723,24.6970005,24.6947766,0.0771666,8,24.7740021,24.548000300000002
19810724,24.9700012,24.9925861,0.1690044,8,25.3260021,24.7580013
19810725,24.4370003,24.5525144,0.4032742,8,25.3890018,24.0530014
19810726,24.967001,25.0253293,0.3147793,8,25.6280022,24.592001
19810727,26.2840004,26.264749,0.3086487,8,26.7720013,25.7960014
19810728,27.7330017,27.8091458,0.4914304,8,28.776001,27.1650009
19810729,26.2710018,26.290386,0.3129064,8,26.854002,25.8360004
19810730,23.5230007,23.5067533,0.1493327,8,23.7370014,23.2630005
19810731,20.2680016,20.2649333,0.0987797,8,20.3700008,20.0810013
19810801,21.7180004,21.6943014,0.1663751,8,21.9150009,21.3520012
19810802,23.3620014,23.3749898,0.1895351,8,23.5880013,22.9730015
19810803,25.1400013,25.1314306,0.0758471,8,25.2060013,24.9500008
19810804,25.1780014,25.1648406,0.1872551,8,25.4480019,24.8100014
19810805,27.5300007,27.5388533,0.1737991,8,27.7640018,27.1910019
19810806,28.4580021,28.4714417,0.1568864,8,28.6340008,28.1350021
19810807,25.2050018,25.2551345,0.1676905,8,25.5010014,24.9420013
19810808,25.7240009,25.7005733,0.1640675,8,25.9020004,25.3440018
19810809,26.7510014,26.7269762,0.1077383,8,26.8600006,26.4930019
19810810,27.269001,27.2453836,0.1267851,8,27.3980007,26.9710007
19810811,27.5300007,27.5004476,0.1271131,8,27.6420021,27.2270012
19810812,25.6460018,25.6277251,0.1119995,8,25.7660007,25.3810005
19810813,22.4960003,22.4931581,0.0810382,8,22.5880013,22.3080006
19810814,24.0720005,24.0712324,0.1087231,8,24.2410011,23.8480015
19810815,24.2780018,24.2837213,0.0954355,8,24.4290009,24.0870018
19810816,25.592001,25.5885668,0.1076284,8,25.717001,25.3530006
19810817,24.4950008,24.506204,0.223398,8,24.8220005,24.0750008
19810818,17.5170002,17.5128427,0.1344977,8,17.6820011,17.257
19810819,19.7520008,19.7555696,0.0528595,8,19.8100014,19.6520004
19810820,16.953001,16.9541792,0.0888334,8,17.0810013,16.7820015
19810821,17.7450008,17.7915942,0.1902353,8,18.0470009,17.4050007
19810822,19.4350014,19.4432421,0.0636216,8,19.5170002,19.3300018
19810823,16.8110008,16.8310706,0.3066589,8,17.2779999,16.2709999
19810824,22.0890007,22.1548412,0.1973442,8,22.4500008,21.8110008
19810825,23.6310005,23.6499923,0.1313019,8,23.802002,23.3810005
19810826,20.1860008,20.220895,0.2314467,8,20.5110016,19.776001
19810827,20.059,20.0830377,0.2690341,8,20.3960018,19.548000300000002
