date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
1996049,301.488623,326.687431,90.3300816,101320,771,0
1996065,269.5148346,285.1993148,72.3866038,101320,702,21
1996081,499.4469755,504.3367475,87.2247587,101320,1081,53
1996097,827.6453033,788.9364611,113.2811406,101320,1170,94
1996113,1315.5879004,1236.6799466,189.1346772,101320,1671,187
1996129,1355.5109767,1287.6371676,189.2034033,101320,1811,192
1996145,1539.630482,1453.5173759,222.1386232,101320,2042,230
1996161,1259.4772721,1210.8456199,165.3425023,101320,1969,218
1996177,1291.5312165,1252.1716484,167.5294753,101320,2042,257
1996193,1187.6107581,1142.3151242,153.8920854,101320,1752,226
1996209,1179.5546154,1122.0639634,166.5802259,101320,1663,193
1996225,1163.5913231,1107.6588879,162.3698413,101320,1600,210
1996241,1035.526741,983.6813462,147.0584213,101320,1437,113
1996257,1131.5819164,1073.3304178,164.316576,101320,1608,88
1996273,769.5558874,729.868982,118.7281869,101320,1035,58
1996289,645.5180597,626.491823,102.3536467,101320,996,57
1996305,226.4895752,233.1342824,46.8342365,101320,418,19
1996321,166.500733,177.5824243,45.3837128,101320,348,5
1996337,192.4863412,205.6423007,56.395548,101320,387,16
1996353,152.5015314,162.7640632,43.2570735,101320,299,6
1997001,138.5134322,148.614274,43.9872949,101320,294,0
1997017,120.4976566,131.7254952,41.5255213,101320,269,0
1997033,180.4935417,194.2782845,54.626209,101320,431,0
1997049,337.5053216,355.4843009,88.5664684,101320,801,0
1997065,467.4308544,481.7816837,106.2530353,101320,1042,17
1997081,699.52979560000006,693.0854751,128.0512226,101320,1406,41
1997097,907.5400195,868.2775385,136.233717,101320,1477,85
1997113,1211.4794935,1144.6410447,179.7173537,101320,1756,121
1997129,1355.4664404,1307.2839943,188.8148057,101320,1930,157
1997145,1123.5305947,1062.5471111,181.9090198,101320,1435,173
1997161,1259.453863,1210.6846819,178.0074163,101320,1835,257
1997177,1171.5584236,1134.1049196,155.5873528,101320,1797,229
1997193,1123.6020089,1088.8252945,143.1157167,101320,1761,196
1997209,1171.61959,1131.5335746,141.8350329,101320,1793,213
1997225,1115.484052,1085.8365804,138.826157,101320,1629,215
1997241,1067.4990177,1015.5993314,143.9573551,101320,1485,142
1997257,883.5572663,835.7776944,128.4651477,101320,1231,91
1997273,859.5491152,825.5325565,124.2138938,101320,1213,98
1997289,493.4931727,476.076739,81.9407068,101320,693,47
1997305,289.4653455,293.0711546,59.6588454,101320,532,16
1997321,194.4930082,205.6507331,50.7837807,101320,410,0
1997337,144.4973656,154.6811615,40.777919,101320,360,0
1997353,116.4854156,124.1276637,32.8817664,101320,293,0
1998001,192.5080279,202.9760112,52.0836362,101320,465,0
