date,tmax_med,tmax_mean,tmax_std,tmax_cnt,tmax_max,tmax_min
19810418,21.0189991,21.0591343,0.0978347,8,21.2520008,20.9080009
19810419,28.7810001,28.759437900000002,0.1054029,8,28.8449993,28.5149994
19810420,26.3099995,26.3326869,0.0254359,8,26.3409996,26.2590008
19810421,19.0550003,19.1144536,0.2066535,8,19.5300007,18.8689995
19810422,17.7600002,17.7532874,0.0774642,8,17.8199997,17.5799999
19810423,23.8840008,23.9316851,0.1083421,8,24.1599998,23.816
19810424,25.7000008,25.7336458,0.0328251,8,25.7919998,25.6870003
19810425,22.8999996,22.8943977,0.0769835,8,22.9659996,22.7290001
19810426,19.5130005,19.5453259,0.0413242,8,19.6130009,19.4750004
19810427,24.1310005,24.1003365,0.1150977,8,24.2280006,23.882
19810428,31.7399998,31.7783357,0.034181,8,31.8379993,31.7250004
19810429,32.0499992,32.080572600000004,0.0448387,8,32.1230011,31.9860001
19810430,29.2509995,29.2538661,0.0573467,8,29.2889996,29.1329994
19810501,25.7989998,25.7649888,0.1773065,8,25.9260006,25.3649998
19810502,24.2110004,24.259402,0.1066038,8,24.4729996,24.1119995
19810503,20.2940006,20.3369259,0.1382053,8,20.6280003,20.1879997
19810504,22.2619991,22.2474961,0.0688247,8,22.3309994,22.1100006
19810505,27.6380005,27.6284303,0.1466901,8,27.7889996,27.3129997
19810506,28.4489994,28.4444038,0.2529525,8,28.7129993,27.8959999
19810507,27.1049995,27.1115358,0.0364057,8,27.1790009,27.0529995
19810508,15.8920002,15.8545321,0.2638391,8,16.3320007,15.5270004
19810509,21.4029999,21.4303927,0.0462313,8,21.4939995,21.3500004
19810510,20.7189999,20.712823,0.1133651,8,20.8659992,20.4780006
19810511,20.1089993,20.1569941,0.1242136,8,20.4090004,20.0109997
19810512,27.3939991,27.4354553,0.1472742,8,27.698,27.2450008
19810513,23.4570007,23.4999487,0.1115611,8,23.7350006,23.3589993
19810514,25.3899994,25.3843486,0.0921613,8,25.5109997,25.2000008
19810515,29.0499992,29.1701328,0.218885,8,29.6620007,28.941
19810516,27.0170002,26.9760206,0.4064092,8,27.4209995,26.0939999
19810517,23.9330006,23.9301127,0.0281247,8,23.9629993,23.8729992
19810518,24.9669991,24.9846104,0.23377,8,25.3570004,24.5860004
19810519,26.0849991,26.0963455,0.0618827,8,26.1819992,25.9619999
19810520,13.3459997,13.3605408,0.1222014,8,13.5290003,13.1450005
19810521,11.7559996,11.7622521,0.0131506,8,11.7790003,11.7379999
19810522,24.2950001,24.2703181,0.0858456,8,24.382,24.1480007
19810523,28.7210007,28.7132699,0.0989472,8,28.8840008,28.5739994
19810524,29.5489998,29.5366919,0.0306328,8,29.5669994,29.4729996
19810525,31.8880005,31.8914732,0.0435972,8,31.9489994,31.816
19810526,31.5359993,31.5490967,0.0730549,8,31.6739998,31.4389992
19810527,28.6089993,28.6087,0.06399,8,28.7199993,28.507
19810528,25.4120007,25.4116049,0.1174697,8,25.6439991,25.257
19810529,25.8710003,25.8719984,0.0378632,8,25.9190006,25.8010006
19810530,28.6210003,28.6079116,0.0769066,8,28.7310009,28.4909992
19810531,31.1580009,31.1495132,0.0343239,8,31.1970005,31.0769997
19810601,33.2280006,33.2129565,0.1438624,8,33.4309998,32.9469986
19810602,26.7700005,26.8246351,0.1346635,8,27.0240002,26.6429996
19810603,29.5170002,29.5159776,0.0484507,8,29.6019993,29.4449997
19810604,29.0219994,29.0204819,0.0414338,8,29.0960007,28.9720001
19810605,31.0970001,31.0956037,0.0187713,8,31.1310005,31.066
19810606,32.8590012,32.87961,0.0578906,8,32.980999,32.8059998
19810607,28.5790005,28.5661892,0.0776965,8,28.6790009,28.3959999
19810608,30.2870007,30.2764656,0.044536,8,30.3269997,30.1819992
19810609,31.5949993,31.5530991,0.0919565,8,31.6590004,31.3540001
19810610,32.007,31.9623207,0.5320597,8,32.8759995,31.2189999
19810611,34.6520004,34.5280009,0.4920055,8,35.0950012,33.487999
19810612,31.0580006,31.0681147,0.0782731,8,31.1669998,30.9400005
19810613,29.4160004,29.2149411,0.7604978,8,30.1110001,27.6259995
19810614,33.098999,32.9883995,0.4858199,8,33.4770012,31.9209995
19810615,34.7939987,34.7687928,0.0933283,8,34.9020004,34.6360016
19810616,36.0870018,36.0942766,0.0293788,8,36.1409988,36.0629997
19810617,36.0009995,35.9694126,0.161906,8,36.1860008,35.7190018
19810618,34.4370003,34.4169292,0.0370876,8,34.4539986,34.3419991
19810619,27.6110001,27.5989186,0.1119665,8,27.7189999,27.3589993
19810620,31.7049999,31.6991939,0.0758497,8,31.8449993,31.6000004
19810621,32.9410019,32.9537324,0.0352013,8,33.0139999,32.9119987
19810622,34.5900002,34.5564267,0.1135812,8,34.737999,34.4070015
19810623,36.7929993,36.7495424,0.092312,8,36.8209991,36.5309982
19810624,32.3269997,32.3238969,0.1240826,8,32.5349998,32.0970001
19810625,34.0929985,34.0715188,0.0685837,8,34.144001,33.9210014
19810626,36.2179985,36.2190285,0.0975226,8,36.3779984,36.0369987
19810627,29.9969997,30.0370695,0.0819863,8,30.2059994,29.9449997
19810628,27.7150002,27.7812638,0.1494148,8,28.1019993,27.6369991
19810629,28.8899994,28.8426601,0.1027262,8,28.9570007,28.6879997
19810630,30.6040001,30.5725657,0.0773751,8,30.6469994,30.3990002
19810701,30.7210007,30.715078,0.1152574,8,30.8250008,30.4449997
19810702,28.7490005,28.783182,0.1154494,8,28.9400005,28.5960007
19810703,25.6159992,25.5948187,0.0840692,8,25.7280006,25.4559994
19810704,22.9790001,22.9892863,0.0628293,8,23.1170006,22.9169998
19810705,28.4389992,28.4327846,0.0465856,8,28.4899998,28.3729992
19810706,31.6030006,31.5953406,0.0319168,8,31.6159992,31.507
19810707,30.2299995,30.250321,0.0849587,8,30.3589993,30.073
19810708,32.6419983,32.6375697,0.0354512,8,32.6730003,32.5449982
19810709,33.9550018,33.9706708,0.0717542,8,34.0970001,33.8499985
19810710,35.1459999,35.1458754,0.0327907,8,35.2029991,35.1020012
19810711,35.2809982,35.3063019,0.0746752,8,35.4480019,35.1980019
19810712,33.1399994,33.1487523,0.0988246,8,33.3269997,33.0009995
19810713,32.4500008,32.4647746,0.0871703,8,32.6419983,32.3460007
19810714,34.0929985,34.1093761,0.0969738,8,34.2919998,33.9840012
19810715,33.7029991,33.7248884,0.0442665,8,33.7890015,33.6599998
19810716,30.0970001,30.1147426,0.0284821,8,30.1749992,30.0790005
19810717,27.3209991,27.3442635,0.0929771,8,27.4829998,27.2070007
19810718,30.1809998,30.2015784,0.1127652,8,30.3509998,29.9659996
19810719,31.8640003,31.8348124,0.1195837,8,31.9580002,31.5559998
19810720,32.7260017,32.7266069,0.0555449,8,32.8040009,32.605999
19810721,34.0690002,34.0894269,0.0675462,8,34.2130013,33.9939995
19810722,33.894001,33.9053887,0.0142189,8,33.9319992,33.8849983
19810723,31.6299992,31.6260394,0.0541592,8,31.7000008,31.5090008
19810724,30.6709995,30.7041344,0.0627158,8,30.8490009,30.6410007
19810725,30.0079994,30.0455188,0.1030731,8,30.1760006,29.8999996
19810726,31.3869991,31.3884363,0.1137121,8,31.5200005,31.1369991
19810727,33.3289986,33.3207165,0.1193451,8,33.4860001,33.1399994
19810728,35.8450012,35.8536138,0.0948532,8,36.0429993,35.7249985
19810729,33.5999985,33.6030211,0.2775845,8,34.1160011,33.2029991
19810730,32.5509987,32.5337893,0.0505448,8,32.6090012,32.4440002
19810731,26.8889999,26.8835195,0.0729708,8,26.9629993,26.7220001
19810801,28.9880009,28.9811812,0.053816,8,29.0569992,28.8710003
19810802,29.2579994,29.2611307,0.0217374,8,29.2940006,29.2269993
19810803,30.8339996,30.8347088,0.0385487,8,30.8959999,30.7639999
19810804,30.3920002,30.3980552,0.0974947,8,30.5669994,30.2689991
19810805,34.0219994,34.0089438,0.0317146,8,34.0579987,33.9650002
19810806,34.9329987,34.9240457,0.0388266,8,34.9850006,34.8470001
19810807,30.0720005,30.0670063,0.0471312,8,30.1329994,29.9969997
19810808,31.4890003,31.5191709,0.0814798,8,31.6480007,31.4190006
19810809,31.4850006,31.4865991,0.0628858,8,31.5890007,31.3950005
19810810,32.4959984,32.4858019,0.0665919,8,32.5909996,32.3619995
19810811,32.9300003,32.9082949,0.0693935,8,33.0169983,32.7900009
19810812,32.0169983,31.9906775,0.0903083,8,32.1069984,31.8050003
19810813,28.1560001,28.1511989,0.07061,8,28.2779999,28.0620003
19810814,30.8840008,30.8781872,0.0665105,8,30.9759998,30.7420006
19810815,31.4120007,31.4010828,0.0614632,8,31.4939995,31.2749996
19810816,31.6439991,31.5970915,0.0710724,8,31.6660004,31.4529991
19810817,32.3089981,32.3187554,0.0482127,8,32.3839989,32.2529984
19810818,24.7010002,24.7025207,0.0554508,8,24.7880001,24.6229992
19810819,26.1380005,26.124342,0.0344203,8,26.173000300000002,26.0690002
19810820,19.4020004,19.428849,0.0443988,8,19.5090008,19.3780003
19810821,24.7970009,24.7617881,0.0936376,8,24.8670006,24.5629997
19810822,25.7940006,25.7809214,0.0716255,8,25.8920002,25.6340008
19810823,22.2250004,22.1908394,0.2302034,8,22.5599995,21.802
19810824,29.7320004,29.7149492,0.312304,8,30.1879997,29.1340008
19810825,30.5380001,30.4776179,0.10257,8,30.6009998,30.2819996
19810826,28.2840004,28.2689659,0.0602641,8,28.3419991,28.1509991
19810827,27.9389992,27.9246173,0.1127993,8,28.0820007,27.6970005
19810828,29.0489998,29.059462,0.10245,8,29.257,28.927
19810829,29.1439991,29.1384037,0.0831626,8,29.2970009,29.0240002
19810830,26.1110001,26.0459146,0.1982915,8,26.3309994,25.7609997
19810831,28.6219997,28.6049371,0.0737539,8,28.7110004,28.4459991
19810901,30.0930004,30.143547,0.1084608,8,30.3649998,30.052
19810902,29.9570007,29.9593889,0.1109372,8,30.1499996,29.7970009
19810903,31.0699997,31.0838471,0.2157358,8,31.3980007,30.7360001
19810904,30.5259991,30.5218249,0.1280505,8,30.7420006,30.3129997
19810905,26.6459999,26.6482676,0.1121955,8,26.8069992,26.448
19810906,22.9950008,22.9955677,0.0962382,8,23.1130009,22.8069992
19810907,26.7709999,26.7605305,0.1123922,8,26.9160004,26.566
19810908,27.1860008,27.2139609,0.091893,8,27.3869991,27.0979996
19810909,28.5450001,28.5068801,0.1830638,8,28.7539997,28.1609993
19810910,26.5179996,26.5038207,0.0538535,8,26.5769997,26.4080009
19810911,27.2280006,27.2616933,0.0610638,8,27.375,27.2129993
19810912,30.1299992,30.153443,0.0822787,8,30.3180008,30.0830002
19810913,30.7080002,30.7526007,0.0665536,8,30.8770008,30.7040005
19810914,31.5650005,31.5466436,0.0514157,8,31.6110001,31.4500008
19810915,31.1599998,31.1877203,0.0681868,8,31.3099995,31.1170006
19810916,31.5569992,31.5414116,0.058618,8,31.6210003,31.4290009
19810917,25.1679993,25.2225638,0.1198854,8,25.4610004,25.0779991
19810918,24.1539993,24.1367366,0.0652124,8,24.2089996,24.0060005
19810919,21.6380005,21.6148688,0.0887921,8,21.7320004,21.4599991
19810920,21.0799999,21.085279,0.0251765,8,21.1280003,21.0580006
19810921,25.3180008,25.2988099,0.0722575,8,25.3990002,25.2010002
19810922,26.8150005,26.8406842,0.062548,8,26.9589996,26.7849998
19810923,28.0130005,28.0458416,0.0812483,8,28.2029991,27.9680004
19810924,21.3400002,21.3789688,0.114782,8,21.6210003,21.2719994
19810925,22.7889996,22.7644899,0.1249743,8,22.9850006,22.5900002
19810926,24.4799995,24.5293168,0.0949609,8,24.7240009,24.441
19810927,26.9220009,26.9340913,0.0918652,8,27.1119995,26.8269997
19810928,28.7740002,28.7700833,0.1585191,8,29.0750008,28.573
19810929,26.2759991,26.2906085,0.0617616,8,26.3990002,26.2169991
19810930,23.9300003,23.9739784,0.0837227,8,24.1359997,23.8959999
19811001,28.1700001,28.1651112,0.049511,8,28.2080002,28.0400009
19811002,30.7280006,30.7089375,0.0416529,8,30.7450008,30.6079998
19811003,20.4880009,20.4509078,0.1179315,8,20.5419998,20.1630001
19811004,18.6270008,18.6645537,0.1026572,8,18.8509998,18.5380001
19811005,22.8050003,22.7781222,0.1140742,8,22.9120007,22.5359993
19811006,26.1800003,26.1953867,0.181462,8,26.5550003,25.9990005
19811007,31.0580006,31.0283256,0.0639625,8,31.1149998,30.9050007
19811008,21.4669991,21.508895,0.0980275,8,21.6870003,21.3999996
19811009,21.2460003,21.225387,0.1420133,8,21.4099998,20.9290009
19811010,19.0060005,19.0280113,0.2232647,8,19.3689995,18.6650009
19811011,17.3449993,17.3513105,0.1977864,8,17.7630005,17.1040001
19811012,18.2509995,18.2504348,0.1939783,8,18.5559998,17.8600006
19811013,19.184,19.1767063,0.2766769,8,19.7409992,18.8110008
19811014,18.0499992,18.0583444,0.1815719,8,18.4249992,17.8110008
19811015,20.6369991,20.6475251,0.0287727,8,20.6860008,20.5909996
19811016,21.8789997,21.9350082,0.1218782,8,22.1790009,21.8120003
19811017,25.1800003,25.1519176,0.145675,8,25.4179993,24.9220009
19811018,20.6359997,20.6448385,0.0861597,8,20.7970009,20.5119991
19811019,24.5039997,24.5136655,0.1712175,8,24.8139992,24.2180004
19811020,15.6969995,15.6562566,0.0727047,8,15.7189999,15.4910002
19811021,19.1030006,19.1529327,0.1312344,8,19.4319992,19.0149994
19811022,22.9740009,22.9999281,0.0877801,8,23.1539993,22.875
19811023,25.1660004,25.1415636,0.1638003,8,25.3530006,24.7950001
19811024,21.7460003,21.7713767,0.2251837,8,22.1200008,21.3330002
19811025,10.7320004,10.7368332,0.0632375,8,10.8000002,10.6160002
19811026,10.3739996,10.3864956,0.0425206,8,10.4490004,10.3109999
19811027,21.3330002,21.3321866,0.0843538,8,21.4549999,21.1580009
19811028,24.4519997,24.4552203,0.1204907,8,24.6520004,24.2740002
19811029,22.7259998,22.735496,0.0819364,8,22.8889999,22.6110001
19811030,17.1000004,17.0994203,0.0378718,8,17.1790009,17.0429993
19811031,13.7600002,13.7644046,0.1217881,8,13.9849997,13.5489998
19811101,15.8319998,15.8388357,0.1056784,8,15.9910002,15.658
19811102,17.9260006,17.8752236,0.1261783,8,18.0139999,17.5849991
19811103,23.8560009,23.8769254,0.0516185,8,23.9689999,23.8099995
19811104,24.4510002,24.4184273,0.1763093,8,24.6650009,24.0620003
19811105,24.6690006,24.6662667,0.0464538,8,24.7479992,24.5990009
19811106,21.9810009,22.0509688,0.2904148,8,22.6599998,21.6849995
19811107,20.1459999,20.1524138,0.0408119,8,20.2290001,20.1079998
19811108,16.5809994,16.5822083,0.0332242,8,16.6350002,16.5330009
19811109,20.1450005,20.1538304,0.0936681,8,20.298000300000002,19.9820004
19811110,20.8470001,20.8263677,0.0889591,8,20.9260006,20.6240005
19811111,12.8179998,12.7766249,0.0627034,8,12.8509998,12.6660004
19811112,15.6470003,15.6334361,0.2368749,8,16.0139999,15.2460003
19811113,12.6920004,12.662106,0.0906752,8,12.7659998,12.4709997
19811114,12.8219995,12.8180152,0.0247488,8,12.8640003,12.7779999
19811115,18.2940006,18.3054888,0.0923123,8,18.4750004,18.1639996
19811116,21.3239994,21.3647181,0.1331996,8,21.6439991,21.2240009
19811117,19.5030003,19.4680653,0.1062208,8,19.6310005,19.2630005
19811118,16.0790005,16.0633917,0.0537925,8,16.1350002,15.9469995
19811119,19.3390007,19.3215093,0.0365151,8,19.3789997,19.2609997
19811120,22.7560005,22.7499945,0.1254096,8,22.9279995,22.5060005
19811121,23.1700001,23.0725684,0.1936956,8,23.3419991,22.6870003
19811122,8.2969999,8.2668575,0.0694206,8,8.3660002,8.1260004
19811123,9.1669998,9.1891512,0.0775612,8,9.3330002,9.1110001
19811124,10.8170004,10.8070772,0.0385194,8,10.8610001,10.7349997
19811125,5.9060001,5.883697,0.1389181,8,6.0819998,5.5929999
19811126,12.0810003,12.0583601,0.1380123,8,12.2749996,11.8070002
19811127,15.9219999,15.8948432,0.080834,8,16.0160007,15.7609997
19811128,21.5330009,21.4970821,0.1756714,8,21.7770004,21.2420006
