date,water_temp_C
1969-06-20,20.74527555712454
1969-06-22,21.818681490551118
1969-06-25,18.324582296242344
1969-06-26,21.09945795703874
1969-07-01,20.200730171639492
1969-06-29,21.18699811871322
1969-07-02,22.26000187681817
1969-07-02,24.85657981169258
1969-07-08,23.86789881268908
1969-07-09,22.79248200265436
1969-07-13,22.43146262227247
1969-07-21,22.873587359182782
1969-07-23,23.58878913947887
1969-07-23,24.39474848402247
1969-07-25,25.915507433540533
1969-07-25,24.930446012431688
1969-07-27,23.94417806535796
1969-07-28,23.047863331888486
1969-08-01,23.31410339480658
1969-08-05,23.93814543553353
1969-08-07,23.667883619399152
1969-08-12,22.321802817908424
1969-08-13,21.066881755986827
1969-08-19,22.585629828896746
1969-08-21,21.95716385963188
1969-08-25,22.402505999115217
1969-09-02,22.39647336929079
1969-09-05,22.12621155315641
1969-09-06,21.050794743121685
1969-09-08,21.945098599983023
1969-09-10,22.83900028152273
1969-09-13,21.40457496771426
1969-09-14,19.52319881313594
1969-09-14,17.463122757314007
1969-09-16,16.387303771957658
1969-09-23,14.949661055576165
1969-09-26,14.947650178968022
1969-09-27,16.021860463037857
1969-09-29,16.826211106294938
1969-10-01,16.376847213595315
1969-10-03,14.584619921977989
1969-10-05,17.807250774187494
1969-10-06,17.090038117283264
1969-10-09,16.640272049262013
1969-10-10,15.833508354075153
1969-10-12,14.668138330436182
1969-10-15,15.91984198978475
1969-10-17,14.844023004428397
1969-10-18,13.858157232676302
1969-10-19,12.782740422641577
1969-10-20,10.991317481667508
1969-10-21,9.19949236537181
1969-10-26,10.181336383907627
1969-11-03,12.772283864279235
1969-11-07,11.695258352958
1969-11-09,9.992179924301666
1969-11-12,8.46820357221058
1969-11-16,6.494863327419864
1969-11-19,4.791382723441902
1969-11-22,3.8047126010465533
1969-11-26,5.324265024599722
1969-12-01,3.887828834183111
1969-12-05,2.98990539942713
1969-12-09,2.9866879968541014
1969-12-12,5.492508367480998
1969-12-14,4.148036267276787
1969-12-15,3.3408703967682953
1969-12-16,1.8176983953204697
1969-12-18,1.1000835630946
1969-12-30,0.465182788683677
1970-01-06,0.19210574529790136
1970-01-07,1.2655116787244793
1970-01-13,0.09772860315573695
1970-01-29,0.08686986947176223
1970-01-29,1.6088353449547128
1970-01-30,3.130800820437649
1970-01-31,5.54827667874682
1970-02-02,4.1138513649383555
1970-02-10,3.6608678943440793
1970-02-16,3.7459950040887833
1970-02-18,4.192141494215377
1970-02-20,4.907745449833101
1970-02-23,5.890393819012168
1970-02-24,5.084032299146941
1970-02-26,4.09776435207322
1970-03-01,4.2748555520303135
1970-03-01,5.259514797817527
1970-03-02,6.871031311583099
1970-03-02,7.945241595652934
1970-03-05,8.749592238910015
1970-03-07,6.688309657123192
1970-03-08,7.8516688041540235
1970-03-10,8.387768507884871
1970-03-11,9.819780769763565
1970-03-14,7.848049226259366
1970-03-14,6.235728361850544
1970-03-17,5.069956162889941
1970-03-20,6.858966051934242
1970-03-21,7.395065755665087
1970-03-23,7.125206114852336
1970-03-24,8.199014223600543
1970-03-27,8.734711752009758
1970-03-29,11.867389390615017
1970-03-31,8.105039256780003
1970-04-02,10.163104435993798
1970-03-30,9.80731333479308
1970-04-05,9.89244044453779
1970-04-07,10.607642224833882
1970-04-08,12.487811853447315
1970-04-09,13.91942194000438
1970-04-13,13.737906811509369
1970-04-14,12.483387924909401
1970-04-16,13.01908545331862
1970-04-17,15.794765464758274
1970-04-19,14.539844402836678
1970-04-19,16.509565069732737
1970-04-22,17.40306457595081
1970-04-25,17.04325172153381
1970-04-27,14.98196913974699
1970-04-30,17.39783629676964
1970-05-02,15.605609005152314
1970-05-02,14.262343430912985
1970-05-03,12.022763123204179
1970-05-05,13.812175187570105
1970-05-08,15.422485175370785
1970-05-10,17.65965243114982
1970-05-14,17.746790417502673
1970-05-16,18.37203898419451
1970-05-18,18.10217934338176
1970-05-20,18.548728008829986
1970-05-22,18.636670345826094
1970-05-24,18.36681070501334
1970-05-26,18.633855118574694
1970-05-29,18.274042264157693
1970-06-01,17.91382723441906
1970-06-01,19.794399038354122
1970-06-02,21.046907048345943
1970-06-05,19.791583811102722
1970-06-06,20.059432575307333
1970-06-07,20.685485492642428
1970-06-10,22.474495381686726
1970-06-12,21.57737629757399
1970-06-15,21.933971749417964
1970-06-20,23.36316878404526
