date,stage_cm,discharge_m3s,notes
1968-07-21,21.29754479,0.03657567432783883,NA
1968-07-22,18.91214054,0.02472678905755191,NA
1968-07-24,20.75950195,0.0336176859389373,NA
1968-07-27,21.59553344,0.0382895514322011,NA
1968-07-28,22.79337492,0.04574550629217452,NA
1968-07-29,20.86911019,0.034206231617321434,NA
1968-07-31,20.05083281,0.02998146407913273,NA
1968-08-01,17.94192539,0.0207868281772806,NA
1968-08-02,16.65970519,0.016280170617757952,NA
1968-08-03,14.73357161,0.010859240471167965,below RC
1968-08-04,12.80837246,0.00684495571779033,below RC
1968-08-11,12.46898872,0.006265173448464077,below RC
1968-08-12,13.48405635,0.00810874891108559,below RC
1968-08-13,14.59004368,0.010514477425372386,below RC
1968-08-14,16.24902469,0.01499452943133789,NA
1968-08-15,22.49977807,0.04383206963767347,NA
1968-08-16,17.54339244,0.019303520427560818,NA
1968-08-17,11.11734062,0.004292439578774907,below RC
1968-08-18,7.814329432,0.0013430513547314743,below RC
1968-08-30,7.769196627,0.001317655225289127,below RC
1968-09-03,7.695096596,0.0012766877821245954,below RC
1968-09-05,5.497138318,4.213550709496293e-4,below RC
1968-09-07,7.066134043,9.639074707397235e-4,below RC
1968-09-08,3.030158619,5.917373836381104e-5,below RC
1968-09-11,2.582101058,3.492202738029874e-5,below RC
1968-09-14,2.134977924,1.866104123141071e-5,below RC
1968-09-17,2.056205761,1.64864275437815e-5,below RC
1968-09-20,1.517228491,6.0538900877177544e-6,below RC
1968-09-23,1.438456327,5.07835931759989e-6,below RC
1968-09-29,1.36902843,4.314361744586294e-6,below RC
1968-10-01,1.375569416,4.382671614414472e-6,below RC
1968-10-03,1.016562712,1.6175063354487108e-6,below RC
1968-10-04,1,1.5322634458772862e-6,below RC
1968-10-05,1.667951503,8.271747282857343e-6,below RC
1968-10-06,3.418786647,8.80742272388866e-5,below RC
1968-10-09,33.09795127,0.15640016225604286,NA
1968-10-09,55.51316373,0.8599012382526805,NA
1968-10-10,46.24056813,0.4708196785154668,NA
1968-10-11,25.57712524,0.06687728064023561,NA
1968-10-12,20.80351344,0.033853152618629354,NA
1968-10-14,18.05536478,0.021223131062731746,NA
1968-10-18,17.70570234,0.019898401374485383,NA
1968-10-21,17.71691546,0.019939964013314403,NA
1968-10-23,15.79358516,0.013653420619612902,NA
1968-10-25,12.95451678,0.00710574723246016,below RC
1968-10-27,12.59737893,0.006480310549467244,below RC
1968-10-29,23.07529142,0.047636853349969935,NA
1968-10-30,35.84862289,0.2034725317988253,NA
1968-10-31,80.40348541,2.915192478986487,NA
1968-11-01,77.19139393,2.5486634334585108,NA
1968-11-02,58.82617329,1.0409218964812426,NA
1968-11-03,49.27708085,0.5806167230638882,NA
1968-11-04,40.7346462,0.3100219966137855,NA
1968-11-05,30.54444367,0.12003768308640071,NA
1968-11-07,41.39164155,0.32680882902494707,NA
1968-11-08,37.3547317,0.23302978304849797,NA
1968-11-09,34.9711963,0.18751535242255885,NA
1968-11-12,34.24477305,0.17498144960293907,NA
1968-11-16,33.06935782,0.1559552976537381,NA
1968-11-17,31.41972107,0.13175192248205544,NA
1968-11-19,29.95659588,0.11259060760737348,NA
1968-11-20,28.76809868,0.0985277051461984,NA
1968-11-21,31.89394258,0.13841998776029235,NA
1968-11-22,44.39077721,0.4115469382223936,NA
1968-11-23,52.75230687,0.726829466943424,NA
1968-11-24,36.8671479,0.2231544463977814,NA
1968-11-26,34.57733548,0.18064464339821296,NA
1968-11-27,31.82544911,0.13744269477304005,NA
1968-11-28,28.98357745,0.10098093166334926,NA
1968-11-30,28.16343121,0.09186561690810512,NA
1968-12-02,28.08185577,0.09099156297471107,NA
1968-12-07,28.7416544,0.09822952647520879,NA
1968-12-11,29.67981872,0.10919838848901468,NA
1968-12-14,30.05938281,0.11386884997015806,NA
1968-12-16,32.26855421,0.14385090727997668,NA
1968-12-16,35.027916,0.18851956245425897,NA
1968-12-17,37.87819749,0.24396637561135412,NA
1968-12-18,35.5855818,0.19859330366265035,NA
1968-12-19,33.66038265,0.16533141440775767,NA
1968-12-20,32.65465928,0.14960198625519192,NA
1968-12-21,30.54575186,0.12005462777102044,NA
1968-12-22,32.10914103,0.14152201852564097,NA
1968-12-23,32.66493798,0.1497572404111065,NA
1968-12-25,32.95077908,0.15411982189087037,NA
1968-12-27,31.76134744,0.13653242942843316,NA
1968-12-28,30.66376994,0.12159015528823144,NA
1969-01-01,30.03947952,0.11362055063366516,NA
1969-01-04,30.05162707,0.1137720499569637,NA
1969-01-06,29.23054641,0.10384463755058615,NA
1969-01-10,29.06272339,0.10189259132532515,NA
1969-01-15,28.99049221,0.10106035339539808,NA
1969-01-18,29.37099073,0.10549812480470509,NA
1969-01-21,29.84147453,0.11117088112201072,NA
1969-01-22,46.65825683,0.4849820964790158,NA
1969-01-23,65.49022356,1.482586519434803,NA
1969-01-24,72.93694956,2.1142997939562016,NA
1969-01-25,70.45875675,1.8866378133829942,NA
1969-01-26,50.8075782,0.6421978914621793,NA
1969-01-27,40.88826594,0.3138919927899056,NA
1969-01-30,40.34928867,0.30046049873495273,NA
1969-01-31,39.89562455,0.2894697349067617,NA
1969-02-01,37.69392856,0.2400766240966344,NA
1969-02-02,37.05468732,0.22691757084207453,NA
1969-02-04,37.6151564,0.23842707574199556,NA
1969-02-05,35.87553438,0.20397638170492458,NA
1969-02-13,34.8941061,0.18615646909801867,NA
1969-02-16,33.89866143,0.1692201019115748,NA
1969-02-17,43.54521457,0.38627102358771487,NA
1969-02-18,48.60186418,0.5548060418152926,NA
1969-02-19,55.40280795,0.854280254701938,NA
1969-02-20,43.74293924,0.39208175275561197,NA
